"subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "V552" "activity"
"1" 1 1 0.27813981054755 -0.0162792254038386 -0.109253752587896 -0.306066258557637 0.013139105598415 -0.208991649505101 0.921976347925072 -0.223827068 -0.0754535692045418 -0.976422923400576 -0.96481245 -0.952409190172911 0.0795966446960231 0.0125443171893372 -0.00848502718962536 -0.259278411676628 -0.070802397156196 -0.418930897048127 -0.0279921815410951 -0.0743670433472623 0.0814405535279251 -0.451502453392219 -0.293938396807925 -0.308493569479827 -0.0996848499004409 -0.0410123551907493 -0.0585549874176945 -0.316972179763689 -0.451433022472046 -0.4102033577 -0.14239665181562 -0.297199537341643 -0.14239665181562 -0.297199537341643 -0.215342028560231 -0.172275573885418 -0.240826739504323 -0.316126271935159 -0.408950504112968 -0.428565342259078 -0.295083660785303 -0.0127840286798271 -0.285132994764352 -0.312018153808646 -0.0390462184389049 -0.232763207493055 -0.276849782868876 0.0433258917787493 0.0982523534143545 -0.303018300500749 -0.140213087119135 -0.388843661713256 -0.280448266367723 -0.0577912853746686 -0.447933970960778 -0.241247670704899 -0.355006260792219 -0.21086175412245 -0.310883990386167 -0.333700397195879 -0.274534310818444 -0.497946102048415 -0.279494381755879 -0.385828280680115 -0.055295413034294 -0.0739535479172622 -0.0635854306142363 -0.240534801290202 -0.44219319167147 0.162765298470153 -0.17722167625245 -0.173698477767896 0.0807492215651297 -0.346148193541988 -0.416530795726225 0.182429251634006 -0.455389962282997 -0.437115145169452 0.149429791176859 4
"2" 2 5 0.278366351225166 -0.017380273611755 -0.108471271062914 -0.986244320794702 -0.936728255264901 -0.94330621234106 0.940252141092715 -0.22399198592053 0.0161543965511589 -0.989834058178808 -0.973703294238411 -0.957334574801325 0.0759446421556291 0.0107816459172086 -0.00677027556923841 -0.98183582192053 -0.964357353509934 -0.981114164271523 -0.0286311244516225 -0.0709125558576159 0.0801744132115894 -0.941634016125828 -0.962696146754967 -0.958617868410596 -0.0993632222665563 -0.0415414215731788 -0.0520312507896358 -0.968600029271523 -0.98206104486755 -0.977485114072848 -0.957463646258278 -0.950432687748344 -0.957463646258278 -0.950432687748344 -0.978163730860927 -0.973343859966887 -0.940522411258278 -0.922945096622517 -0.979821235993377 -0.975447850364238 -0.983456243046358 -0.945499467682119 -0.96041524781457 -0.987668599337748 -0.93586731115894 -0.938777643344371 0.023581703913245 -0.0305139539019868 0.0437262523029801 -0.981888970198675 -0.964830249536424 -0.978021835827815 -0.98347455705298 -0.966499935496689 -0.982862572218543 0.214881470146026 -0.153158653379801 0.00282039678039735 -0.940846572317881 -0.967466559370861 -0.959887391192053 -0.942910186192053 -0.960466729271523 -0.962129324801325 -0.223012970570397 -0.224754616395695 -0.0999445860735099 -0.958486145 -0.953412374900662 0.0466834989910596 -0.972707490662252 -0.973174469172185 0.255101126962848 -0.945403987847682 -0.923113902880795 -0.205291288439404 -0.976847229470199 -0.975148823013245 0.0469072826796026 3
"3" 3 1 0.273645438592375 -0.0181531317527683 -0.108382492175953 -0.320027540340762 -0.0482564874510264 -0.285418191634604 0.931167484193548 -0.209306841061584 -0.0501638598762463 -0.977491524721408 -0.965980653489736 -0.954528945043988 0.0811485459987683 0.00992429849589443 0.00601726800794721 -0.265130721920997 -0.131365691335317 -0.488949844695308 -0.0301179785524633 -0.0694739487326393 0.0813363840993255 -0.492022981856598 -0.371850003054985 -0.357556433684457 -0.0952352582902933 -0.0495322686541936 -0.0487255184560411 -0.385668035697947 -0.535456680967449 -0.457280657188856 -0.181489181927859 -0.336971710233431 -0.181489181927859 -0.336971710233431 -0.253323455203226 -0.216735045278299 -0.302195942056598 -0.406078519849853 -0.47813495498827 -0.510409661311437 -0.300276851480059 -0.0641360123912023 -0.35101827511349 -0.329341358504399 -0.101720340050821 -0.307453970539912 -0.282049148156598 0.0614143682024047 0.0637636666225807 -0.308011005492082 -0.190802212719648 -0.461949923584692 -0.286799214110557 -0.125770358477537 -0.514921242969795 -0.248626168568035 -0.341437509567478 -0.250685503393607 -0.372540380410557 -0.414545174999707 -0.327144739465396 -0.531711535143695 -0.354285566380352 -0.428851423390029 -0.0620169292055718 -0.117259923412522 -0.068830851548827 -0.274016135245308 -0.479908919237537 0.180722865051965 -0.221883150800587 -0.217168935072727 0.0645175619754546 -0.426156407086217 -0.497574468363636 0.169668810636833 -0.530399780038622 -0.521382183390029 0.126710634393343 4
"4" 4 5 0.278623412744479 -0.0166573884709464 -0.104608703350505 -0.984997208422713 -0.931222930536278 -0.93816910807571 0.94738788384858 -0.169667002028391 0.000188180739854574 -0.989913342208202 -0.970761368107256 -0.951527137839117 0.0752905712208202 0.00746426473409148 -0.00499113096978864 -0.978526346498423 -0.961302404100946 -0.977308378044164 -0.0272081292360883 -0.0678671566810726 0.0816609340400631 -0.941849379716088 -0.959634995457413 -0.95798961126183 -0.101756585728707 -0.0434965755460568 -0.0533034764217666 -0.962540112555205 -0.979061577886435 -0.976086490536278 -0.953767756876972 -0.945726294100946 -0.953767756876972 -0.945726294100946 -0.975392794542587 -0.967977829968454 -0.939321761167192 -0.926217972681388 -0.976924592365931 -0.970719309432177 -0.981604495646688 -0.940545007066246 -0.954457578927445 -0.986701500757098 -0.930529067444795 -0.934249223753943 0.0423198108902839 -0.0306635434918297 0.0561756173247634 -0.978461543753943 -0.961217713659306 -0.973631405205047 -0.980647391388013 -0.964387680630915 -0.97971352170347 0.219710539102524 -0.134498133083123 0.0128140698492114 -0.93873754659306 -0.963315049369085 -0.958541167570978 -0.943765115205047 -0.95797755488959 -0.961781649747634 -0.232291912323817 -0.218443158563344 -0.0939855555205047 -0.954499394290221 -0.949195388233439 0.0448314757947949 -0.967897959716088 -0.967097340851735 0.222442997922713 -0.945408718643533 -0.927512469242902 -0.19243510514864 -0.972232312681388 -0.970677874826498 0.062365346519306 3
"5" 5 1 0.274309437582781 -0.0185948901200662 -0.109530613486755 -0.311342540137086 0.00165716653877483 -0.314435802615894 0.933132916291391 -0.21629249413245 -0.0411761106529801 -0.976113875463576 -0.968276596655629 -0.957777500728477 0.0814201714839735 0.0349847013846026 0.00403142617605629 -0.278435701109603 -0.0862884557598675 -0.518329895324503 -0.0291141160964901 -0.0720995484065662 0.0805804252842533 -0.476574876701987 -0.35174360025894 -0.34898835217053 -0.104428654202318 -0.0446357673576159 -0.0528766690448013 -0.380495889192053 -0.547296363172185 -0.450140518193709 -0.168845420266808 -0.338779974503311 -0.168845420266808 -0.338779974503311 -0.25634941160457 -0.225132938049007 -0.280377640202848 -0.405675720737417 -0.48073823318543 -0.535085611529801 -0.29310169989851 -0.0123784533360927 -0.37471456222351 -0.320282595109934 -0.0558189170705298 -0.336652141303311 -0.303821787204636 0.0582139683518543 0.0649652592153874 -0.313158769014901 -0.150979665033775 -0.484414620622517 -0.307708742496026 -0.0784339408697748 -0.551274603758278 -0.254295747374603 -0.359222545602649 -0.227169024393046 -0.358801017929801 -0.40827404938543 -0.320650822437748 -0.515842828162252 -0.327202633927815 -0.420272020006623 -0.0561340411564238 -0.135418848961656 -0.063131717730298 -0.281193446447351 -0.477836094271523 0.169848738942318 -0.219762324677483 -0.240188475765099 0.0862672704536424 -0.433732149834437 -0.491513974066225 0.141015699199669 -0.546626441511325 -0.554143305324503 0.0953737927623179 4
"6" 6 1 0.277974722 -0.0184163176102738 -0.109657243384615 -0.314236840045538 -0.0287457150998462 -0.257344381231877 0.943117260615385 -0.181710135181846 -0.0687535279845538 -0.977649577076923 -0.967853496769231 -0.954628575323077 0.0630088783723077 -0.00666844536123077 -0.000497751748923078 -0.263499477116308 -0.109989332138092 -0.466900696940615 -0.0508863445599077 -0.0606631104387692 0.0938663941770769 -0.464344142723077 -0.308235168183723 -0.333863034501538 -0.0806292667455385 -0.0467535176421231 -0.0512829628488615 -0.376140939535385 -0.473884120347692 -0.441411809469846 -0.165158259013538 -0.340812702615385 -0.165158259013538 -0.340812702615385 -0.232673786459077 -0.225889075198369 -0.251468256692923 -0.363544300165538 -0.436118783855385 -0.477593035448923 -0.296146242848308 -0.0506994349967385 -0.322501121098462 -0.322819575892308 -0.0802633595828308 -0.28234635722 -0.282982039221538 0.0447398416892615 0.0815732099200923 -0.308241498685877 -0.180918224264557 -0.438229818169231 -0.283685955338062 -0.0931609746517538 -0.494709704771385 -0.256338749739385 -0.371217861861538 -0.247340022909262 -0.341967726996923 -0.342391714108954 -0.303449469718215 -0.505151252685231 -0.296104500119385 -0.407150018775385 -0.0566075416618462 -0.0689518761390769 -0.0677009179209846 -0.277008874628308 -0.483439054061538 0.191719106973538 -0.218594579967815 -0.242060931620462 0.0841180697938369 -0.387438371302831 -0.460137667396615 0.177508841717382 -0.488873948590769 -0.501200823423077 0.141282430981354 4
"7" 7 1 0.276775740194805 -0.0180022251980029 -0.107445485336688 -0.309376977890942 -0.0362739614962013 -0.296001163340909 0.943651131493507 -0.16438607660487 -0.0305534045958117 -0.979052831688312 -0.96685729711039 -0.952603161493507 0.0767065154814935 0.00988291825802442 -0.00388957818340909 -0.258082235580519 -0.115549905973182 -0.497060754428571 -0.038392882178474 -0.0683361272131169 0.0939316706932467 -0.447037791996753 -0.378476976282468 -0.330787509886364 -0.0916457291674253 -0.0406189847415584 -0.0612284061292532 -0.399852292899026 -0.542095606571429 -0.464020668225325 -0.16917187141476 -0.353874114753247 -0.16917187141476 -0.353874114753247 -0.241086250001299 -0.228040201431494 -0.271259957708442 -0.392702955305844 -0.482271083816883 -0.533672152223182 -0.290429439468506 -0.058833096568961 -0.367622202107792 -0.318600407241234 -0.0871980699899675 -0.314990377808052 -0.286778374104545 0.0383286948384091 0.0696191942544481 -0.307544104405195 -0.186548687015942 -0.473448355191558 -0.27366522251198 -0.0983260964961039 -0.519944619938312 -0.282100964308442 -0.364452738327922 -0.252018783480844 -0.337072299577273 -0.414788866844805 -0.310602654281818 -0.484169808578766 -0.363949250730195 -0.400626158545455 -0.116601524831299 -0.114715531770909 -0.0989052465116883 -0.285035894110942 -0.498067770308442 0.198997921628052 -0.22554356021461 -0.237402454388961 0.0746789218642208 -0.428562118238312 -0.475397607633117 0.121759569315065 -0.543434579314935 -0.554929802876299 0.135342378253961 4
"8" 8 1.64768683274021 0.265234596881851 -0.0255538562290747 -0.116240763992171 -0.267032073689786 0.00760194694911032 -0.216269467598221 0.895782176868327 -0.26164383502847 -0.132959147173843 -0.954194067793594 -0.938043377615658 -0.91891712316726 0.0635745624622776 0.0135828081429537 0.00281095075939502 -0.323274492108185 -0.205570593094306 -0.564161332870036 0.037406037976726 -0.109055563338363 0.0411544703822064 -0.474334098944484 -0.402949466844484 -0.283871218723772 -0.108300338635018 -0.0351286593048043 -0.0510414318336299 -0.489047252096085 -0.628916549508897 -0.528513822384697 -0.113206496378078 -0.320912295864769 -0.113206496378078 -0.320912295864769 -0.315634050502167 -0.31876549245694 -0.24631946087758 -0.370232898560142 -0.562942281423488 -0.622552981448399 -0.307454717822776 -0.067838211728185 -0.34843482683274 -0.253502679562278 -0.0212404853060498 -0.212357161716975 -0.367447955034875 -0.0617542490786477 -0.12240179872669 -0.357461560817082 -0.246077059513843 -0.528494072590747 -0.349172907220463 -0.216749966838861 -0.598971739636299 -0.281856920344804 -0.381580255537367 -0.358516536807473 -0.37097504566121 -0.466860675651601 -0.302003021387189 -0.510064485519573 -0.375465773160854 -0.346557006266548 -0.118528361540925 -0.212080787536299 -0.179806128917224 -0.282844092480427 -0.451535898220641 0.102438260245196 -0.297336139244128 -0.355836879528719 0.107671648639359 -0.449409050976512 -0.431494257634875 -0.0217079621827758 -0.62302787094306 -0.651093992669039 0.144313145853381 5.29537366548043
"9" 9 5 0.278284976388889 -0.0162563276170833 -0.106029601059028 -0.985147126979167 -0.931407487569444 -0.946456906736111 0.930788813888889 -0.192575743190972 -0.0188536997170139 -0.987266991458333 -0.970526311493056 -0.95928610375 0.0753555928368056 0.00964371254062153 -0.00330333184736458 -0.981699051111111 -0.964024453576389 -0.980969587569444 -0.0265498515349306 -0.0681732666545139 0.0782352320260417 -0.942647101076389 -0.962377130104167 -0.9578524015625 -0.0999654021201389 -0.0415144359680556 -0.0525909081714931 -0.966410685659722 -0.980754563333333 -0.977191270833333 -0.9564282471875 -0.9500195209375 -0.9564282471875 -0.9500195209375 -0.977473488368056 -0.973982239131944 -0.9415914021875 -0.928122844548611 -0.978105394583333 -0.974098449895833 -0.982874858125 -0.942520715243056 -0.961396958993056 -0.986258862118056 -0.929879453899306 -0.942551195208333 0.0124456609791667 -0.000623149333333333 0.0842341383979167 -0.981766144513889 -0.964096051006944 -0.977837609444444 -0.983340292118056 -0.96667979125 -0.982760905520833 0.210925668785764 -0.0991262427808333 0.0343730623086806 -0.941819021597222 -0.966130231875 -0.959487968715278 -0.943799338819444 -0.960645146354167 -0.961290410555556 -0.224071030395486 -0.183105745227083 -0.0737418938885417 -0.958035291076389 -0.953045520381944 0.0710198141748958 -0.973086173159722 -0.974244465381944 0.276910701978472 -0.946815910381944 -0.929210847881944 -0.167554655009097 -0.975035930034722 -0.974509453993056 0.121006657957639 3
"10" 10 5.6734693877551 0.275354020367347 -0.0161977530993197 -0.109934858487755 -0.968395664717687 -0.946608546952381 -0.950168391911565 0.0688682387585034 0.396977239496599 0.383097265938776 -0.956915526105442 -0.972613327312925 -0.954912798231292 0.0787982093 0.0105066924921088 -0.00439249501554422 -0.98040072462585 -0.96795062377551 -0.978306990952381 -0.0166536643687075 -0.0968905462537415 0.120352665503401 -0.960864436836735 -0.962104676326531 -0.959212542210884 -0.101635084581633 -0.0380709357144898 -0.0621766657703742 -0.972132814659864 -0.980771414591837 -0.981800390306122 -0.952815550914966 -0.941267725897959 -0.952815550914966 -0.941267725897959 -0.97800237329932 -0.972824685442177 -0.938179290102041 -0.936056089142857 -0.98125496122449 -0.976236020102041 -0.971591236258503 -0.953227488027211 -0.96133992962585 -0.967530100521429 -0.94642410855102 -0.947892377112245 -0.180421568431293 0.11947253521716 0.155949115831973 -0.980315180782313 -0.968260630272109 -0.975109990306122 -0.982390345986395 -0.970023337142857 -0.98015126452381 0.114971994346871 -0.0358838231282993 0.0667195216962857 -0.956778514792517 -0.966575615442177 -0.959947149659864 -0.96278345452381 -0.960148720714286 -0.962888250510204 -0.0320703743804422 -0.186411298772449 0.0765642878282313 -0.952775353979592 -0.944349487240816 0.129765433208844 -0.972518439795918 -0.972227956088435 0.271563481895782 -0.952103926326531 -0.937340131204082 -0.0527865033840136 -0.977519704251701 -0.976039581632653 0.168177724801361 1.6530612244898
